ID,Class
226336,neutral
5905814,neutral
5975964,positive
3677317,positive
4275042,positive
6204097,positive
4249473,negative
5326743,positive
4670297,positive
4199582,negative
2308075,positive
1280677,positive
6173385,negative
1952560,negative
2861577,positive
5579454,neutral
2565920,negative
3483233,positive
846371,positive
1898042,positive
4719037,negative
837759,positive
802617,positive
6218576,neutral
1576143,positive
344736,positive
2451596,positive
5538573,negative
1245931,negative
13778,neutral
448399,positive
1527405,neutral
6590304,positive
20302,neutral
2446127,positive
6280950,positive
4752518,positive
1208979,neutral
5884614,negative
2978225,positive
1430347,neutral
220458,positive
4399277,positive
790544,positive
959117,negative
3967710,positive
5865255,negative
2796705,positive
4906880,negative
991828,negative
1644825,negative
3512318,neutral
1394027,neutral
3088229,positive
202743,negative
1719198,positive
6089040,positive
3758012,neutral
4617953,positive
3185130,positive
2213557,positive
3348228,positive
3166539,positive
5450995,positive
2300177,positive
1217906,positive
5602599,negative
4639672,positive
71308,negative
4170722,neutral
2333457,negative
2960635,neutral
5823101,positive
4334385,positive
1225747,neutral
5608043,negative
2729017,negative
3660631,positive
1279160,positive
6458891,positive
170005,positive
2090143,negative
3870130,neutral
208387,positive
4264735,negative
5163524,neutral
3394369,positive
4130076,positive
2417784,positive
3304774,positive
5706396,positive
1012762,positive
2552955,positive
692450,positive
546945,positive
5671521,positive
4764387,positive
1648202,positive
1804712,negative
5536828,neutral
5046667,positive
4507717,negative
4475383,positive
91532,neutral
2077495,negative
6077731,positive
6488749,negative
5930082,positive
2477087,neutral
1241016,positive
2050708,positive
5744121,neutral
2768020,negative
5106574,negative
5404485,negative
2001427,negative
4501016,positive
5314025,positive
3618616,positive
4678430,negative
1383645,positive
1817595,negative
3001935,neutral
1030224,positive
2681676,positive
6158747,positive
3960843,neutral
4488952,negative
3810151,positive
2448891,positive
711076,positive
4392640,positive
2667349,negative
1138710,positive
5506770,neutral
4905030,positive
5905883,positive
1711356,positive
952071,positive
1980638,positive
1525093,positive
3201877,positive
282974,positive
3956984,neutral
1880907,negative
4664787,positive
5655620,positive
209327,positive
1694024,positive
2934904,positive
4368436,neutral
2775937,negative
2193746,negative
1713752,positive
1006539,positive
5911193,negative
1742880,positive
2095333,positive
57639,neutral
4344525,positive
3508268,positive
928632,negative
2270154,positive
2297563,positive
1860997,negative
528373,positive
5265867,positive
3502199,positive
6375891,negative
6483021,positive
1180013,positive
182313,negative
6265622,positive
6261069,positive
4083663,neutral
3702836,positive
2580628,neutral
5569455,positive
1158112,positive
2181145,positive
3191679,positive
703171,positive
3743555,positive
1610715,positive
590574,positive
3717219,positive
5563122,positive
5496512,neutral
1086141,positive
6122156,positive
5678572,positive
458131,positive
3780964,positive
478170,positive
2068487,positive
4274898,positive
3202135,negative
2932709,positive
2050618,negative
4277305,positive
5012765,neutral
5637529,positive
6195022,positive
3825886,positive
4181451,positive
4959307,neutral
5181784,neutral
2551729,positive
5074134,positive
4689602,negative
2057419,positive
4789181,positive
4102978,neutral
1527734,positive
2715384,positive
5216697,negative
6381986,positive
6209294,positive
1741320,positive
3783021,positive
3196328,positive
3110308,negative
403938,positive
2395535,positive
5421809,negative
2465853,positive
4841571,negative
6622618,negative
4132213,positive
2726508,neutral
5209436,negative
3700598,positive
3137338,negative
4017498,positive
1353023,positive
1987838,positive
1515813,positive
1698811,positive
4125157,positive
1635859,positive
5064638,positive
5739316,neutral
1738393,positive
2076814,neutral
2462078,positive
5315865,positive
5204568,positive
6391455,neutral
3345700,negative
2867802,positive
4706946,neutral
5551468,positive
2262916,negative
5785106,positive
4981273,positive
5312870,neutral
4211398,positive
1287584,positive
5893667,negative
3355544,positive
4620824,positive
1382654,positive
3946897,positive
6649858,negative
6086740,positive
6479859,positive
762901,neutral
3491507,positive
3339841,negative
5833496,positive
6409016,positive
4211843,positive
5146290,positive
383818,positive
5635903,positive
3669969,positive
5275537,positive
3978146,positive
2748823,positive
1780430,negative
5173762,negative
243825,positive
4379057,neutral
3937443,positive
4971739,positive
2084789,positive
3533540,positive
3996730,negative
5437765,positive
5074940,positive
6059557,positive
2416936,negative
6614997,positive
6553867,positive
1480109,positive
3068625,neutral
3497205,positive
5955792,negative
4627746,negative
3294413,positive
4141074,positive
569696,negative
5408539,neutral
3309898,positive
4687168,neutral
2380825,positive
4718916,positive
1443476,positive
6568767,neutral
30192,positive
1680437,positive
5580622,positive
1028908,positive
3244399,positive
2113622,positive
2524614,positive
2427251,positive
422488,negative
6601514,positive
1824327,negative
3762040,positive
6053719,neutral
1277379,positive
2712883,negative
6622932,negative
3649320,positive
3308833,positive
3967895,negative
3396951,positive
1110731,positive
5992893,positive
4305476,positive
4182282,negative
1781706,positive
406043,positive
5731242,positive
5007016,neutral
4485465,negative
6212446,positive
4649427,positive
5408760,negative
3355073,positive
863019,positive
1542418,positive
5860359,positive
1255692,positive
369068,neutral
5573266,negative
2414428,positive
1127022,positive
2326847,positive
4456933,positive
2729039,positive
1399448,neutral
3178289,positive
634146,neutral
4132338,positive
6000126,positive
3845995,positive
3073098,negative
4556932,positive
4998504,negative
5675413,positive
4039731,negative
4045563,negative
745507,positive
4692692,negative
1091932,positive
802974,negative
3104411,positive
824318,neutral
3030818,negative
3118150,positive
775154,positive
4710211,positive
4405842,negative
4581448,neutral
2500862,positive
6225312,neutral
5287988,positive
2609757,positive
1867234,positive
5651557,positive
3702072,positive
1120747,neutral
1972479,negative
6245963,positive
4170421,neutral
3688199,positive
1806509,positive
426362,positive
241563,negative
4627843,negative
6615577,neutral
724889,positive
4568390,positive
5339288,positive
5279739,positive
4675835,positive
828791,neutral
2416201,positive
5462358,positive
1236518,negative
5705109,positive
6086397,positive
5305828,neutral
3209478,positive
2328539,positive
1485247,positive
